ТОВАРЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DADO 2 glass doors,top DARK OAK;DADO Греденция L100,2 стекл.дв;Греденция Тао/Ekis/Sigma;100x44xh72;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;799;0;0;0; ;36,74;0,1081;DS17;ЗАГ00096;;;;4;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 2 glass doors,top LIGHT OAK, carcass WHITE;DADO Греденция L100,2 стекл.дв;Греденция Тао/Ekis/Sigma;100x44xh72;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;799;0;0;0; ;36,74;0,1081;DS17;ЗАГ00097;;;;12;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO H.121 glass doors;DADO Шкаф 4 стекл.двери;;100x44xh122;СТЕКЛО БЕЛ/БЕЛЫЙ;0;1 326;0;0;0; ;36,74;0,1081;DS17;ЗАГ00098;;;;8;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO 4 doors LIGHT OAK, carcass GREY;DADO Шкаф 4 дер.двери, к-с сер;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ДУБ СВЕТЛЫЙ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00100;;;;12;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
PFС 2+1HDMI;POWER FRAME COVER 2schuc+1HDMI;Электрификация Power Frame;255х87x80mm;АЛЮМИНИЙ;0;226;0;0;0; ;0;0;DS17;ЗАГ00102;;;;0;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann; ;0;0;
CONIсерый2+2Cat5e+кабель;CONI 2+2Cat5e рамка+блок;Электрификация Coni;248х151х56мм;СЕРЫЙ;0;277;0;0;0; ;1,75;0,01;DS17;ЗАГ00103;;;;7;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann; ;0;0;
CONFсер2+2Cat5e+1VGA+stereo;CONFERENCE 2+2Cat5e+1VGA+stere;Электрификация Conference;285х183х110мм;СЕРЫЙ;0;854;0;0;0; ;0;0;DS17;ЗАГ00104;;;;26;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann; ;0;0;
LUNA L100 light oak;LUNA Высокая стойка L100;Стойка Luna;100x92xh112;ДУБ СВЕТЛЫЙ;0;1 609;0;0;0; ;0;0;DS14;ЗАГ00107;;;;5;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/100 white/black;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;БЕЛ+ЧЕРН;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00110;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/100 walnut/white;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;ОРЕХ/БЕЛЫЙ;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00111;;;;1;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/100 light oak/white;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;ДУБ СВЕТЛЫЙ/БЕЛЫЙ;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00112;;;;1;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/200 white/black glass;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;БЕЛ+ЧЕРН;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00113;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
